ID_t,Nb_of_incident,Electrical_length,Service_date,Length_climate_hazard_plan,Length_fragile_section,Nb_of_anomaly,Year_helicopter_flight,y_pred
58930,1.0,428.0,60,7.628000000000001,7.281497070309999,17.0,3,0
91669,0.0,550.0,3,2.587,2.3654903717,0.0,1,0
51639,0.0,65.0,59,1.069,1.7,0.0,1,1
73067,0.0,764.0,68,5.0,4.217,0.0,1,1
16190,1.0,293.0,34,0.175,1.286,0.0,2,0
7722,1.0,279.672119140625,31,1.365,0.323,1.0,2,0
30354,2.0,254.0,49,3.24932168579,0.0,0.0,1,1
48171,2.0,143.0,39,3.875,2.423,0.0,5,1
3442,0.0,92.0,36,2.266,0.0,0.0,3,0
11012,1.0,66.0,41,0.129,0.917,0.0,1,1
63060,1.0,314.0,32,1.538999999999999,3.095,0.0,1,0
1508,0.0,335.0,34,0.61,2.35847872508,0.0,1,0
17507,0.0,352.0,41,0.017,1.07200001144,0.0,1,0
13994,3.0,475.0,36,1.795,0.0,0.0,1,1
2901,0.0,1.16229236125946,34,2.66325732446,2.227,0.0,1,0
15691,1.0,56.0,27,0.044,0.75963378906,0.0,2,0
18341,1.0,196.0,36,0.206,1.94,0.0,1,0
16415,0.0,92.0,36,0.222,0.596,0.0,1,0
31323,0.0,541.0,39,3.168,5.00840371704,0.0,5,0
70384,3.0,438.900146484375,49,6.074,8.251735488889999,0.0,5,1
12847,0.0,343.0,36,0.118,0.932,0.0,2,0
46838,1.0,583.0,42,2.669,2.93194799805,19.0,3,0
13556,0.0,397.0,34,0.295,0.0,3.0,3,0
19890,1.0,137.0,44,0.1,0.0,10.0,3,0
8417,0.0,136.0,29,0.444,0.0,0.0,5,0
22507,0.0,33.0,44,0.057,0.186,4.0,3,0
68905,1.0,209.0,28,1.967,4.417277906060001,0.0,1,0
72512,2.0,246.4200134277344,50,2.805,2.329,0.0,2,1
42205,2.0,74.0,70,1.052,0.838,16.0,3,0
10869,1.0,332.0,37,0.212,2.70060400391,4.0,3,0
43413,1.0,251.0,39,1.993,4.15,0.0,1,1
67120,2.0,193.0,33,5.095999999999999,4.967578269960001,0.0,2,1
41858,2.0,101.0,25,1.038,4.044,13.0,3,0
35356,0.0,160.0,36,3.632000030519999,17.323,0.0,5,1
283,0.0,87.0,37,0.0,2.05439041138,0.0,2,0
65482,0.0,576.0,29,0.619,1.474,0.0,2,0
3624,0.0,370.0,42,0.0,1.071,0.0,2,0
39418,2.0,306.0,33,1.34,24.61417190099,0.0,5,1
86245,0.0,162.0,48,2.385,0.26511373901,0.0,5,1
56650,0.0,77.0,29,1.364,0.381,0.0,5,0
41814,2.0,410.0,35,8.803,1.323,0.0,1,1
59237,2.0,579.0,37,4.354,2.141,11.0,3,0
28708,0.0,17.0,41,5.329000000000001,2.787,0.0,1,0
43710,1.0,456.0,41,1.819,1.541,0.0,5,1
27991,1.0,267.0,37,10.60299998474,1.61,2.0,3,0
64288,0.0,11.0,21,1.056,5.551,3.0,4,0
91679,1.0,8.605637550354004,35,3.970686676020001,4.11068667602,0.0,5,1
38422,2.0,190.0,56,0.7329999999999998,7.163025794970001,15.0,3,0
35817,1.0,110.0,59,4.010000000000001,20.424,4.0,3,1
82408,2.0,365.0,42,0.609,8.994,0.0,1,1
67913,1.0,260.0,49,6.373000000000001,4.053141906740001,7.0,3,0
43849,1.0,67.0,34,1.032,1.782,0.0,5,1
61742,1.0,27.0,44,0.184,0.456,0.0,1,1
41018,0.0,397.0,38,4.973,5.518,3.0,5,0
75789,2.0,360.0,36,0.939,2.564,0.0,1,1
63832,2.0,37.0,33,0.0,3.402777771,0.0,5,1
86788,0.0,248.3798980712891,37,0.118,0.932,0.0,2,0
66811,1.0,440.0,38,1.031,6.7924975543,7.0,3,0
89201,0.0,374.7893981933594,39,1.811,4.15123416197,0.0,1,0
26420,0.0,89.0,44,10.349,2.339,3.0,5,0
40819,0.0,211.0,41,1.608,8.426039428709998,0.0,5,1
41359,2.0,699.0,31,0.885,0.591,8.0,5,0
87617,2.0,30.36638450622559,28,6.91709901647,2.997,0.0,2,1
43936,0.0,388.0,31,0.042,0.655,0.0,1,0
